ability,9,10,BUL
able,5,10,BUL
about,2,10,BUL
above,5,10,BUL
abroad,8,10,BUL
absence,1,10,BUL
absolute,4,10,BUL
absolutely,6,10,BUL
abstract,5,10,BUL
abuse,8,10,BUL
academic,3,10,BUL
accept,5,10,BUL
acceptable,5,10,BUL
accepted,5,10,BUL
access,9,10,BUL
accessible,5,10,BUL
accident,8,10,BUL
accomplished,5,10,BUL
according,10,10,BUL
account,5,10,BUL
accounting,10,10,BUL
accuracy,9,10,BUL
accurate,9,10,BUL
achieve,8,10,BUL
achievement,9,10,BUL
acknowledge,5,10,BUL
across,10,10,BUL
act,9,10,BUL
acting,10,10,BUL
action,1,10,BUL
active,9,10,BUL
actively,5,10,BUL
activity,9,10,BUL
actor,4,10,BUL
acts,3,10,BUL
actual,3,10,BUL
actually,2,10,BUL
ad,8,10,BUL
add,5,10,BUL
added,5,10,BUL
addicted,2,10,BUL
addiction,1,10,BUL
addition,1,10,BUL
additional,5,10,BUL
address,5,10,BUL
adequate,8,10,BUL
adjust,5,10,BUL
administration,1,10,BUL
admission,1,10,BUL
adolescence,3,10,BUL
adolescent,8,10,BUL
adopted,5,10,BUL
adult,4,10,BUL
advance,9,10,BUL
advanced,9,10,BUL
advancement,9,10,BUL
advantage,8,10,BUL
advent,8,10,BUL
adventure,8,10,BUL
advertisement,9,10,BUL
advertiser,4,10,BUL
advertising,4,10,BUL
advice,9,10,BUL
advocate,8,10,BUL
affect,2,10,BUL
affected,2,10,BUL
affecting,10,10,BUL
affection,1,10,BUL
afraid,6,10,BUL
after,2,10,BUL
afternoon,6,10,BUL
afterwards,2,10,BUL
again,6,10,BUL
against,3,10,BUL
age,3,10,BUL
aged,5,10,BUL
agency,9,10,BUL
agent,9,10,BUL
ago,8,10,BUL
agree,2,10,BUL
agreement,9,10,BUL
agriculture,3,10,BUL
ahead,6,10,BUL
aid,6,10,BUL
aids,9,10,BUL
aim,4,10,BUL
air,9,10,BUL
airplane,6,10,BUL
airport,9,10,BUL
alcohol,9,10,BUL
alert,8,10,BUL
alike,2,10,BUL
alive,2,10,BUL
all,2,10,BUL
allocate,5,10,BUL
allow,5,10,BUL
almost,2,10,BUL
alone,6,10,BUL
along,2,10,BUL
already,2,10,BUL
also,5,10,BUL
alternate,5,10,BUL
alternative,8,10,BUL
although,2,10,BUL
always,2,10,BUL
am,8,10,BUL
amazing,10,10,BUL
ambition,1,10,BUL
ambitious,8,10,BUL
among,10,10,BUL
amongst,8,10,BUL
amount,8,10,BUL
an,2,10,BUL
